,company,rating,reviews,highlyRatedFor,jobs,salary
0,TCS,3.3,(1.2L),Job Security,4.7k,10.3L
1,Accenture,3.7,(75k),"Promotions, Salary, Work Satisfaction",23.6k,7.1L
2,Wipro,3.6,(66.2k),"Promotions, Salary, Work Satisfaction",4.2k,4.9L
3,Cognizant,3.7,(62.5k),"Promotions, Salary, Work Satisfaction",932,6.1L
4,Capgemini,3.6,(54.6k),"Work Life Balance, Job Security",2.1k,4.9L
5,HDFC Bank,3.8,(53.6k),"Job Security, Skill Development",248,1.5L
6,Infosys,3.5,(49.7k),Job Security,3k,5.3L
7,HCLTech,3.4,(46.9k),"Promotions, Salary, Work Satisfaction",235,3.9L
8,ICICI Bank,4.0,(46.6k),"Job Security, Promotions, Skill Development",11,1.6L
9,Tech Mahindra,3.3,(44.1k),"Promotions, Salary, Work Satisfaction",685,2.9L
10,Genpact,3.6,(43.3k),Job Security,587,2.4L
11,TP,3.9,(39.5k),"Work Life Balance, Job Security, Skill Development",1.8k,1L
12,Jio,4.4,(34k),"Job Security, Skill Development, Company Culture",--,62.1k
13,Axis Bank,3.6,(34k),"Promotions, Work Satisfaction, Company Culture",218,1L
14,Concentrix Corporation,3.6,(32.8k),Job Security,18,1.3L
15,Amazon,3.9,(32.3k),"Company Culture, Work Life Balance, Salary",82,1.6L
16,Reliance Retail,3.9,(27.7k),"Job Security, Skill Development, Work Life Balance",100,76.6k
17,iEnergizer,4.6,(27.4k),"Company Culture, Work Life Balance, Work Satisfaction",73,25k
18,LTIMindtree,3.6,(26.9k),"Promotions, Salary, Work Satisfaction",541,2L
19,HDB Financial Services,3.9,(26.2k),"Promotions, Salary",4,49.9k
20,IBM,3.9,(26.2k),"Work Life Balance, Company Culture, Job Security",2.2k,2.2L
21,Larsen & Toubro Limited,3.9,(24.3k),"Job Security, Skill Development, Salary",232,77k
22,Deloitte,3.6,(23.8k),"Promotions, Work Life Balance, Work Satisfaction",370,2.8L
23,Kotak Mahindra Bank,3.6,(22.9k),"Promotions, Work Satisfaction, Company Culture",146,88.6k
24,Reliance Industries,4.0,(20.6k),"Job Security, Work Life Balance, Skill Development",99,75.1k
25,Vodafone Idea,3.9,(17.8k),"Salary, Company Culture, Work Life Balance",93,49k
26,Bharti Airtel,3.8,(17.3k),Promotions,200,50.4k
27,BYJU'S,3.2,(16.4k),"Job Security, Company Culture, Work Life Balance",5,51k
28,WNS,3.3,(15.6k),"Promotions, Salary, Work Satisfaction",63,71.5k
29,IDFC FIRST Bank,4.0,(15.2k),"Salary, Work Life Balance, Skill Development",57,49.6k
30,Ernst & Young,3.4,(14.9k),"Promotions, Work Life Balance, Work Satisfaction",3.9k,1.5L
31,IndusInd Bank,3.4,(14.6k),"Promotions, Company Culture, Work Satisfaction",174,52.8k
32,AU Small Finance Bank,3.8,(14.5k),Salary,234,30.1k
33,Tata Motors,4.1,(14.4k),"Job Security, Company Culture, Work Life Balance",210,44.4k
34,Bajaj Finserv,3.9,(13.5k),"Salary, Skill Development, Job Security",6,32.1k
35,Muthoot FinCorp,4.5,(13.3k),"Company Culture, Work Life Balance, Job Security",47,9.8k
36,Flipkart,3.9,(13.2k),"Skill Development, Salary",156,57k
37,PwC,3.3,(13k),"Promotions, Work Life Balance, Work Satisfaction",1.1k,1.3L
38,HDFC Life,3.8,(12.3k),Skill Development,126,34k
39,Mahindra & Mahindra,4.0,(12.3k),"Job Security, Skill Development, Company Culture",1,41.4k
40,Infosys BPM,3.5,(12.3k),Job Security,86,77.8k
41,DXC Technology,3.6,(12.2k),Work Life Balance,167,75.4k
42,Bandhan Bank,3.7,(11.5k),"Promotions, Work Satisfaction, Company Culture",4,27.7k
43,Digitide Solutions,3.5,(10.5k),"Promotions, Salary, Work Satisfaction",426,27.4k
44,Yes Bank,3.7,(10.4k),"Job Security, Promotions, Company Culture",198,43k
45,Mphasis,3.3,(10.4k),"Promotions, Salary, Work Satisfaction",83,75.5k
46,Tata Steel,4.0,(10.1k),"Work Life Balance, Job Security, Company Culture",--,34.9k
47,Quess,3.8,(9.9k),"Promotions, Job Security",60,32k
48,Asian Paints,3.9,(9.8k),"Salary, Skill Development, Job Security",120,26.8k
49,UltraTech Cement,4.1,(9.7k),"Job Security, Skill Development, Company Culture",68,25k
50,Startek,3.0,(9.7k),"Promotions, Work Satisfaction, Salary",242,25k
51,Maruti Suzuki,4.1,(9.7k),"Job Security, Salary, Company Culture",156,29.5k
52,Paytm,3.2,(9.5k),"Job Security, Company Culture, Promotions",977,34.7k
53,Bajaj Finance,3.9,(9.5k),"Salary, Skill Development, Job Security",8.6k,23.7k
54,Shriram Finance,3.9,(9.3k),"Job Security, Work Life Balance",9,15.6k
55,Sutherland Global Services,3.3,(9.2k),"Promotions, Work Satisfaction, Skill Development",285,36.4k
56,Coforge,3.3,(9k),"Promotions, Work Satisfaction, Job Security",321,67.6k
57,Equitas Small Finance Bank,4.3,(9k),"Job Security, Company Culture, Work Life Balance",55,13.8k
58,Wells Fargo,3.6,(8.9k),Work Life Balance,198,65k
59,Cipla,4.1,(8.8k),"Salary, Work Life Balance, Skill Development",47,27.2k
60,EXL Service,3.6,(8.8k),Job Security,88,45.8k
61,Ericsson,3.9,(8.5k),"Work Life Balance, Company Culture",66,42.7k
62,Samsung,3.9,(8.4k),"Work Life Balance, Salary",61,26.4k
63,Dr. Reddy's,4.0,(8.4k),"Company Culture, Work Life Balance, Skill Development",60,25.9k
64,Optum Global Solutions,4.0,(8.2k),"Job Security, Work Life Balance, Company Culture",178,52.1k
65,JSW Steel,3.9,(8.1k),"Job Security, Skill Development",120,32.4k
66,Delhivery,3.8,(8k),Promotions,555,22.7k
67,JPMorgan Chase & Co.,3.8,(8k),"Job Security, Salary",387,93.4k
68,ICICI Prudential Life Insurance,3.9,(7.9k),"Job Security, Salary, Skill Development",380,23.7k
69,Hexaware Technologies,3.4,(7.9k),"Promotions, Salary, Work Satisfaction",1.6k,56.4k
70,Ujjivan Small Finance Bank,4.0,(7.8k),"Company Culture, Work Life Balance, Skill Development",221,13.8k
71,Jana Small Finance Bank,3.7,(7.8k),Salary,196,14.3k
72,Sun Pharmaceutical Industries,4.0,(7.8k),"Salary, Job Security, Skill Development",429,23.6k
73,Zydus Lifesciences,4.0,(7.7k),"Salary, Skill Development, Work Life Balance",35,20.6k
74,Ekart Logistics,3.9,(7.7k),Skill Development,--,17.1k
75,HGS,3.7,(7.6k),"Promotions, Salary",31,20.4k
76,Amazon Development Centre India,3.8,(7.5k),"Company Culture, Work Life Balance",12,40.2k
77,KPMG India,3.4,(7.5k),"Promotions, Work Life Balance, Work Satisfaction",116,70.7k
78,Lupin,4.1,(7.5k),"Company Culture, Skill Development, Work Life Balance",68,22.5k
79,Axis Max Life Insurance,4.0,(7.4k),"Skill Development, Company Culture, Work Life Balance",2.1k,20.2k
80,L&T Construction,4.0,(7.3k),"Job Security, Skill Development, Salary",--,19.2k
81,ITC,3.8,(7.3k),"Job Security, Skill Development",83,25.5k
82,Hindustan Unilever,4.2,(7.3k),"Skill Development, Company Culture, Work Life Balance",22,20.6k
83,Megha Engineering & Infrastructures,3.9,(7.1k),Work Life Balance,28,19.6k
84,Tata Projects,4.2,(7k),"Salary, Company Culture, Work Life Balance",51,22.8k
85,Cholamandalam Investment & Finance,3.8,(6.8k),Salary,57,13.4k
86,Bajaj Life Insurance,3.8,(6.8k),Salary,92,18.2k
87,L&T Technology Services,3.1,(6.8k),"Promotions, Salary, Work Satisfaction",--,45.2k
88,FIS,3.7,(6.7k),Work Life Balance,115,39k
89,Oracle,3.3,(6.6k),Work Life Balance,254,65.7k
90,Omega Healthcare,3.7,(6.6k),"Promotions, Salary",237,28.4k
91,JLL,4.1,(6.6k),"Company Culture, Work Life Balance, Job Security",395,25.8k
92,Muthoot Finance,3.7,(6.5k),Promotions,172,13.3k
93,IIFL Finance,4.0,(6.5k),"Work Life Balance, Company Culture, Skill Development",49,14k
94,eClerx,3.1,(6.5k),"Promotions, Salary, Work Satisfaction",416,33.7k
95,Indian Army,4.7,(6.4k),"Job Security, Company Culture, Work Life Balance",--,9.3k
96,DMart,3.9,(6.3k),"Job Security, Company Culture",244,19.9k
97,PolicyBazaar,3.7,(6.3k),Salary,1.3k,18.7k
98,Piramal Finance,4.2,(6.3k),"Company Culture, Work Life Balance, Skill Development",361,12.9k
99,Indiamart Intermesh,3.5,(6.2k),"Company Culture, Work Life Balance, Work Satisfaction",228,21.6k
100,Virtusa Consulting Services,3.7,(6.2k),"Promotions, Work Satisfaction, Job Security",193,57.7k
101,HSBC Group,3.8,(6.2k),"Work Life Balance, Job Security, Company Culture",123,45.7k
102,SMFG India Credit,3.9,(6.1k),Salary,123,11.2k
103,HCL Group,3.5,(6.1k),"Promotions, Salary, Work Satisfaction",--,38.8k
104,Access Healthcare,3.7,(6.1k),Promotions,647,29.5k
105,BigBasket,3.9,(6k),Job Security,66,20.2k
106,ICICI Lombard General Insurance Company,3.5,(5.9k),"Promotions, Work Satisfaction, Company Culture",241,20.5k
107,Manappuram Finance,3.9,(5.9k),"Work Life Balance, Promotions, Skill Development",25,9.6k
108,Siemens,4.0,(5.9k),"Work Life Balance, Job Security, Company Culture",698,35k
109,GlobalLogic,3.5,(5.9k),"Promotions, Salary, Work Satisfaction",78,42.3k
110,Apollo Hospitals,4.0,(5.9k),"Job Security, Skill Development, Company Culture",361,17.1k
111,Firstsource Solutions,3.5,(5.9k),"Promotions, Salary, Work Satisfaction",118,25.2k
112,Aurobindo Pharma,4.0,(5.9k),"Job Security, Salary, Work Life Balance",29,20.4k
113,Shapoorji Pallonji Group,4.1,(5.8k),"Job Security, Company Culture, Work Life Balance",64,15.6k
114,Tata Capital,3.9,(5.8k),"Job Security, Company Culture, Work Life Balance",4.8k,16.8k
115,UST,3.7,(5.8k),Work Life Balance,680,41.4k
116,Standard Chartered,3.6,(5.8k),"Promotions, Work Satisfaction, Salary",3,42.5k
117,Swiggy,3.7,(5.8k),"Job Security, Promotions, Work Life Balance",193,24.7k
118,Mahindra Finance,3.8,(5.8k),Promotions,92,12.3k
119,Bosch Global Software Technologies,3.7,(5.7k),"Work Life Balance, Company Culture, Job Security",51,41.3k
120,Udaan,3.9,(5.7k),Salary,--,15.2k
121,Citicorp,3.6,(5.7k),Salary,--,55.2k
122,Ashok Leyland,4.0,(5.6k),"Skill Development, Company Culture, Work Life Balance",2,19k
123,Hero MotoCorp,4.1,(5.6k),"Work Life Balance, Company Culture, Work Satisfaction",5,16.6k
124,CGI Inc,4.0,(5.5k),"Work Life Balance, Job Security, Company Culture",596,48k
125,SBI Cards & Payment Services,3.6,(5.4k),"Promotions, Work Satisfaction, Company Culture",96,16.2k
126,NTT DATA,3.8,(5.4k),"Work Life Balance, Job Security",24,39.2k
127,Kalpataru Projects International,4.1,(5.4k),"Job Security, Skill Development, Salary",--,14.2k
128,Cyient,3.6,(5.4k),"Promotions, Salary, Skill Development",136,27.8k
129,BNY,3.6,(5.4k),"Promotions, Job Security, Work Satisfaction",54,32.5k
130,Nagarjuna Construction Company,4.0,(5.4k),"Job Security, Work Life Balance, Skill Development",17,12.8k
131,IQVIA,3.7,(5.4k),Work Life Balance,36,32.5k
132,Schneider Electric,4.1,(5.3k),"Company Culture, Work Life Balance, Job Security",440,26.4k
133,SBI Life Insurance Company,3.7,(5.3k),Job Security,11,12.3k
134,CBRE,4.1,(5.2k),"Company Culture, Work Life Balance, Job Security",94,19.5k
135,JustDial,3.5,(5.2k),"Promotions, Work Satisfaction, Job Security",39,15.4k
136,TVS Motor,3.8,(5.2k),"Job Security, Skill Development, Salary",135,16.8k
137,State Bank of India,3.9,(5.2k),"Job Security, Skill Development, Salary",9,11.9k
138,Persistent Systems,3.5,(5.2k),"Promotions, Job Security, Work Satisfaction",337,47.5k
139,KEC International,4.0,(5.1k),"Job Security, Salary, Company Culture",26,13.8k
140,ITC Infotech,3.8,(5k),"Work Life Balance, Job Security",66,30.5k
141,Atos,3.8,(5k),Work Life Balance,94,33.6k
142,Amdocs,3.6,(5k),Company Culture,2,37.8k
143,vivo,4.0,(5k),"Company Culture, Skill Development, Work Life Balance",15,13.1k
144,Varun Beverages,4.0,(4.9k),"Job Security, Work Life Balance, Skill Development",30,12.4k
145,JBM Group,3.9,(4.9k),"Job Security, Skill Development",66,14.2k
146,Utkarsh Small Finance Bank,3.6,(4.9k),"Promotions, Company Culture, Work Satisfaction",63,11.8k
147,Ecom Express,4.1,(4.9k),"Work Life Balance, Company Culture, Work Satisfaction",--,9.3k
148,Nagarro,3.9,(4.8k),"Work Life Balance, Company Culture",299,34.1k
149,Randstad,3.7,(4.8k),"Promotions, Job Security, Work Satisfaction",138,17.5k
150,Eviden,3.6,(4.8k),Work Life Balance,--,26.4k
151,EY Global Delivery Services ( EY GDS),3.5,(4.8k),Job Security,14,54.3k
152,Bosch,4.1,(4.8k),"Work Life Balance, Company Culture, Skill Development",--,21.4k
153,Intas Pharmaceuticals,4.1,(4.7k),"Job Security, Salary, Work Life Balance",50,18k
154,Hetero,3.9,(4.7k),"Job Security, Work Life Balance",98,15.5k
155,Havells,3.9,(4.7k),"Work Life Balance, Salary",12,16.1k
156,L&T Finance,3.9,(4.7k),Salary,--,12.3k
157,Aditya Birla Fashion and Retail,4.0,(4.7k),"Job Security, Skill Development, Company Culture",67,13.4k
158,Hewlett Packard Enterprise,4.0,(4.7k),"Company Culture, Work Life Balance, Work Satisfaction",245,27.8k
159,Tata AIA Life Insurance,3.8,(4.7k),"Job Security, Skill Development, Salary",800,14.7k
160,R1 RCM,3.8,(4.7k),Job Security,119,22.5k
161,Cars24,3.4,(4.7k),"Job Security, Promotions, Company Culture",134,16.1k
162,Mahindra Logistics,3.7,(4.6k),"Promotions, Salary",204,12.9k
163,Dell,3.8,(4.6k),"Work Life Balance, Company Culture",29,29.3k
164,Lenskart,3.3,(4.6k),"Promotions, Company Culture, Work Satisfaction",228,13.7k
165,Berger Paints,3.7,(4.6k),"Promotions, Company Culture, Work Life Balance",236,10.9k
166,Home Credit Finance,4.0,(4.6k),"Work Life Balance, Company Culture, Work Satisfaction",100,9.2k
167,Deutsche Bank,3.8,(4.6k),"Work Life Balance, Job Security, Company Culture",265,38.8k
168,Motilal Oswal Financial Services,3.7,(4.5k),Skill Development,63,13.7k
169,OPPO,3.9,(4.5k),Skill Development,7,11.8k
170,Hyundai Motor India Limited,4.1,(4.5k),"Job Security, Salary, Company Culture",5,14.7k
171,TeamLease Services,3.9,(4.5k),Work Life Balance,--,16.6k
172,VE Commercial Vehicles,3.9,(4.4k),"Job Security, Company Culture, Skill Development",23,14.5k
173,Thermax Limited,4.2,(4.4k),"Job Security, Company Culture, Work Life Balance",46,13.5k
174,Jubilant Foods Works,3.7,(4.4k),"Promotions, Work Life Balance, Work Satisfaction",333,9.9k
175,Carelon Global Solutions,3.9,(4.3k),"Company Culture, Work Life Balance, Job Security",136,29.3k
176,Macleods Pharmaceuticals,3.7,(4.3k),Job Security,36,16k
177,Aakash Educational Services,3.2,(4.3k),"Promotions, Work Life Balance, Job Security",101,14.1k
178,Jindal Steel Limited,3.9,(4.3k),Skill Development,44,16.4k
179,State Street Corporation,3.5,(4.3k),"Promotions, Work Satisfaction, Job Security",12,34.5k
180,Bajaj Auto,3.8,(4.3k),Promotions,40,15.1k
181,Hindalco Industries,4.2,(4.2k),"Job Security, Work Life Balance, Skill Development",13,13.4k
182,LG Electronics,3.8,(4.2k),Job Security,14,11.4k
183,Kogta Financial India Limited,4.6,(4.2k),"Work Life Balance, Company Culture, Work Satisfaction",93,2k
184,HDFC ERGO General Insurance,4.0,(4.2k),"Work Life Balance, Company Culture, Job Security",2,12.3k
185,DCB Bank,3.8,(4.1k),Work Life Balance,14,10.1k
186,Royal Enfield,4.2,(4.1k),"Work Life Balance, Skill Development, Company Culture",3,15.2k
187,John Deere,4.0,(4.1k),"Company Culture, Work Life Balance, Skill Development",4,15.7k
188,RBL Bank,3.5,(4.1k),"Promotions, Company Culture, Work Satisfaction",83,18.8k
189,Tata Communications,3.8,(4.1k),Work Life Balance,181,23.8k
190,Publicis Sapient,3.2,(4.1k),"Promotions, Job Security, Work Satisfaction",261,33.5k
191,Cummins,4.3,(4.1k),"Company Culture, Work Life Balance, Work Satisfaction",158,15.8k
192,Cloudnine Hospital,4.5,(4k),"Company Culture, Job Security, Skill Development",24,3.1k
193,Alembic Pharmaceuticals,3.9,(4k),"Salary, Work Life Balance",58,15.7k
194,Pidilite Industries,4.2,(4k),"Job Security, Work Life Balance, Company Culture",18,12.3k
195,Bank of America,4.1,(4k),"Job Security, Work Life Balance, Company Culture",1,30.3k
196,Grasim Industries,4.0,(4k),"Job Security, Skill Development, Company Culture",3,13.4k
197,Aditya Birla Sun Life Insurance,4.0,(4k),"Work Life Balance, Company Culture, Skill Development",--,10.6k
198,Oyo Rooms,2.9,(4k),"Job Security, Company Culture, Work Life Balance",156,13.6k
199,PNB MetLife,3.3,(4k),"Company Culture, Work Satisfaction, Job Security",12,8.3k
200,American Express,4.1,(4k),"Company Culture, Work Life Balance, Job Security",137,26.1k
201,Kyndryl,3.9,(3.9k),"Work Life Balance, Company Culture, Skill Development",576,28.2k
202,Aditya Birla Capital,3.8,(3.9k),Promotions,--,14.7k
203,Subros,3.7,(3.9k),"Job Security, Skill Development",2,12.8k
204,KPIT Technologies,2.8,(3.9k),"Promotions, Job Security, Work Satisfaction",30,24.4k
205,ADP Private Limited,3.8,(3.9k),"Job Security, Company Culture, Work Life Balance",45,22.6k
206,Escorts Kubota Limited,4.1,(3.9k),"Work Life Balance, Company Culture, Skill Development",2,14k
207,Viatris,4.1,(3.9k),"Salary, Job Security, Work Life Balance",16,14.5k
208,Maersk,3.9,(3.9k),"Work Life Balance, Company Culture",53,19.9k
209,XpressBees,4.1,(3.9k),"Work Life Balance, Company Culture, Work Satisfaction",6,8.3k
210,JK Cement,4.0,(3.9k),Salary,1,10.3k
211,Altruist Technologies,4.4,(3.9k),"Job Security, Company Culture, Work Life Balance",5,8.5k
212,PVR INOX,3.9,(3.9k),Promotions,42,9.6k
213,Birlasoft,3.4,(3.8k),"Promotions, Salary, Work Satisfaction",532,29.8k
214,Synechron,3.4,(3.8k),"Job Security, Promotions, Work Satisfaction",198,29.2k
215,Reliance Communications,3.9,(3.8k),"Skill Development, Company Culture, Work Life Balance",--,9.2k
216,PhonePe,4.0,(3.8k),"Salary, Work Life Balance, Company Culture",88,14.2k
217,Blinkit,3.8,(3.8k),Salary,--,14.6k
218,Glenmark Pharmaceuticals,3.8,(3.8k),Promotions,266,12.4k
219,Kotak Mahindra Life Insurance Company,3.5,(3.8k),"Promotions, Work Satisfaction, Company Culture",320,12.7k
220,Bharat Electronics,4.2,(3.8k),"Work Life Balance, Company Culture, Work Satisfaction",1,12.9k
221,Dabur,3.8,(3.8k),Salary,43,9.3k
222,Sodexo,4.0,(3.8k),"Company Culture, Work Life Balance, Work Satisfaction",375,10.2k
223,Cogent E Services,3.1,(3.7k),"Salary, Company Culture, Work Satisfaction",4,10.5k
224,Godrej & Boyce Manufacturing,3.8,(3.7k),Job Security,50,15.3k
225,UNO Minda,3.9,(3.7k),"Job Security, Company Culture, Skill Development",55,11.8k
226,ArcelorMittal Nippon Steel India,4.1,(3.7k),"Work Life Balance, Job Security, Company Culture",10,13.1k
227,Ipca Laboratories,3.8,(3.7k),"Job Security, Work Life Balance",29,11.6k
228,Abbott,4.1,(3.7k),"Work Life Balance, Salary, Company Culture",194,12.2k
229,Aarti Industries,4.1,(3.7k),"Job Security, Work Life Balance, Company Culture",76,14.6k
230,Samvardhana Motherson Group,3.7,(3.7k),Job Security,25,11.9k
231,Reliance Projects & Property Management Services,4.0,(3.6k),"Work Life Balance, Job Security, Skill Development",--,7.7k
232,Reliance Digital,4.1,(3.6k),"Skill Development, Job Security, Company Culture",2,8.4k
233,IGT Solutions,3.2,(3.6k),"Promotions, Salary, Work Satisfaction",145,13.8k
234,MRF Tyres,3.6,(3.6k),"Company Culture, Work Satisfaction, Work Life Balance",84,13k
235,Indian Oil Corporation,4.4,(3.6k),"Company Culture, Work Life Balance, Job Security",--,8k
236,"NTT DATA, Inc.",3.9,(3.6k),"Work Life Balance, Job Security, Company Culture",202,21.1k
237,Alkem Laboratories,3.9,(3.6k),"Work Life Balance, Salary",30,10.2k
238,Johnson Controls,3.5,(3.6k),"Promotions, Work Satisfaction, Company Culture",12,17.9k
239,Honda Motorcycle & Scooter,4.1,(3.5k),"Job Security, Company Culture, Work Life Balance",--,11.3k
240,[24]7.ai,3.4,(3.5k),"Promotions, Salary, Work Satisfaction",67,11.7k
241,Vishal Mega Mart,3.7,(3.5k),Salary,9,6.3k
242,Hindustan Coca Cola Beverages,4.0,(3.5k),"Salary, Skill Development, Company Culture",35,7.9k
243,Barclays,3.7,(3.5k),Work Life Balance,--,34.7k
244,DTDC Express,3.7,(3.5k),"Promotions, Salary, Company Culture",68,9k
245,Bajaj General Insurance Limited,3.6,(3.5k),"Promotions, Work Life Balance, Work Satisfaction",374,11k
246,RSPL Group,4.0,(3.5k),"Job Security, Work Life Balance, Company Culture",57,9.9k
247,UBS,3.8,(3.5k),Work Life Balance,1,32.7k
248,IndusInd Nippon Life Insurance,3.3,(3.5k),"Job Security, Company Culture, Work Satisfaction",7,7.9k
249,TVS Credit Services Ltd,4.1,(3.5k),"Salary, Company Culture, Work Life Balance",44,7.5k
250,ABB,4.0,(3.5k),"Work Life Balance, Job Security, Company Culture",770,19k
251,AGS Health,3.9,(3.4k),"Company Culture, Job Security, Work Life Balance",61,15.1k
252,Ceat Tyres,3.9,(3.4k),"Job Security, Company Culture, Skill Development",48,13.1k
253,NatWest Group,3.9,(3.4k),"Work Life Balance, Job Security, Company Culture",23,21.9k
254,Ford Motor,4.2,(3.4k),"Company Culture, Work Life Balance, Salary",6,15.6k
255,HARMAN,3.8,(3.4k),"Work Life Balance, Company Culture",187,24.2k
256,Alstom Transportation,3.7,(3.4k),Job Security,244,15.9k
257,Croma,3.8,(3.4k),"Work Life Balance, Skill Development",37,9.8k
258,InterGlobe Aviation,3.4,(3.4k),"Promotions, Salary, Work Life Balance",33,14k
259,Niva Bupa Health Insurance Company,4.0,(3.4k),"Company Culture, Work Life Balance, Work Satisfaction",188,8.9k
